Stock,MAE,MAPE,MSE,RMSE,R2
MSFT,5.757626169096164,2.07770585031172,53.53669186382428,7.316877193436028,0.9909448095545808
GOOGL,2.7450342721086214,2.413983472264257,12.651898768642376,3.5569507683748416,0.986860464480624
NVDA,1.4199411151854973,4.148132271289135,7.259149567290501,2.694280899848882,0.9939223595754154
META,8.875720357507225,3.290555099164521,139.43779858518033,11.808378321563902,0.9891430833607726
AAPL,3.42701299403741,2.3858985096615166,18.726154249043166,4.327372672770761,0.9877609683664517
