Stock,MAE,MAPE,MSE,RMSE,R2
AAPL,2.276809853536594,1.6170415517291898,9.181829867761834,3.0301534396399523,0.9939318161585324
MSFT,4.152107014284628,1.5097589748509277,29.57461162887993,5.438254465256286,0.9951176351201096
GOOGL,1.962736024612767,1.7210524611049556,7.202739521817891,2.6837920042018704,0.9924669083033008
META,5.999661909695526,2.27226851755233,84.68997512078894,9.202715638374846,0.9944274377669644
NVDA,1.0799777183062726,2.9321737458191897,3.9009647124886593,1.9750860012892246,0.9970621837639316
