Stock,MAE,MAPE,MSE,RMSE,R2
AAPL,2.6549144682845447,1.905749064945062,12.268439926942111,3.50263328467913,0.9919815984444428
MSFT,4.821261100458904,1.745675443528396,39.33479289001474,6.271745601506389,0.993346917257118
GOOGL,2.1925670902903485,1.905654989559852,8.674902935855998,2.945318817353394,0.9909907439715432
NVDA,1.1378499306314358,3.729916307407392,3.408914393368934,1.8463245633877412,0.9971459251901292
META,7.344342642683323,2.7936931317593228,97.68691995394154,9.883669356769355,0.9923938934962823
